Accomack,51001
Albemarle,51003
Alleghany,51005
Amelia,51007
Amherst,51009
Appomattox,51011
Arlington,51013
Augusta,51015
Bath,51017
Bedford,51019
Bland,51021
Botetourt,51023
Brunswick,51025
Buchanan,51027
Buckingham,51029
Campbell,51031
Caroline,51033
Carroll,51035
Charles City,51036
Charlotte,51037
Chesterfield,51041
Clarke,51043
Craig,51045
Culpeper,51047
Cumberland,51049
Dickenson,51051
Dinwiddie,51053
Essex,51057
Fairfax,51059
Fauquier,51061
Floyd,51063
Fluvanna,51065
Franklin,51067
Frederick,51069
Giles,51071
Gloucester,51073
Goochland,51075
Grayson,51077
Greene,51079
Greensville,51081
Halifax,51083
Hanover,51085
Henrico,51087
Henry,51089
Highland,51091
Isle of Wight,51093
James City,51095
King and Queen,51097
King George,51099
King William,51101
Lancaster,51103
Lee,51105
Loudoun,51107
Louisa,51109
Lunenburg,51111
Madison,51113
Mathews,51115
Mecklenburg,51117
Middlesex,51119
Montgomery,51121
Nelson,51125
New Kent,51127
Northampton,51131
Northumberland,51133
Nottoway,51135
Orange,51137
Page,51139
Patrick,51141
Pittsylvania,51143
Powhatan,51145
Prince Edward,51147
Prince George,51149
Prince William,51153
Pulaski,51155
Rappahannock,51157
Richmond,51159
Roanoke,51161
Rockbridge,51163
Rockingham,51165
Russell,51167
Scott,51169
Shenandoah,51171
Smyth,51173
Southampton,51175
Spotsylvania,51177
Stafford,51179
Surry,51181
Sussex,51183
Tazewell,51185
Warren,51187
Washington,51191
Westmoreland,51193
Wise,51195
Wythe,51197
York,51199
Alexandria City,51510
Bedford City,51515
Bristol City,51520
Buena Vista City,51530
Charlottesville City,51540
Chesapeake City,51550
Clifton Forge City,51560
Colonial Heights City,51570
Covington City,51580
Danville City,51590
Emporia City,51595
Fairfax City,51600
Falls Church City,51610
Franklin City,51620
Fredericksburg City,51630
Galax City,51640
Hampton City,51650
Harrisonburg City,51660
Hopewell City,51670
Lexington City,51678
Lynchburg City,51680
Manassas City,51683
Manassas Park City,51685
Martinsville City,51690
Newport News City,51700
Norfolk City,51710
Norton City,51720
Petersburg City,51730
Poquoson City,51735
Portsmouth City,51740
Radford,51750
Richmond City,51760
Roanoke City,51770
Salem City,51775
South Boston City,51780
Staunton City,51790
Suffolk City,51800
Virginia Beach City,51810
Waynesboro City,51820
Williamsburg City,51830
Winchester City,51840
