Accomack County,51001
Albemarle County,51003
Alexandria City,51510
Alleghany Highlands,51005
Amelia County,51007
Amherst County,51009
Appomattox County,51011
Arlington County,51013
Augusta County,51015
Bath County,51017
Bedford County,51019
Bland County,51021
Botetourt County,51023
Bristol City,51520
Brunswick County,51025
Buchanan County,51027
Buckingham County,51029
Buena Vista City,51530
Campbell County,51031
Caroline County,51033
Carroll County,51035
Charles City County,51036
Charlotte County,51037
Charlottesville City,51540
Chesapeake City,51550
Chesterfield County,51041
Clarke County,51043
Colonial Beach,51560
Colonial Heights City,51570
Covington City,51580
Craig County,51045
Culpeper County,51047
Cumberland County,51049
Danville City,51590
Dickenson County,51051
Dinwiddie County,51053
Essex County,51057
Fairfax County,51059
Falls Church City,51610
Fauquier County,51061
Floyd County,51063
Fluvanna County,51065
Franklin City,51620
Franklin County,51067
Frederick County,51069
Fredericksburg City,51630
Galax City,51640
Giles County,51071
Gloucester County,51073
Goochland County,51075
Grayson County,51077
Greene County,51079
Greensville County,51081
Halifax County,51083
Hampton City,51650
Hanover County,51085
Harrisonburg City,51660
Henrico County,51087
Henry County,51089
Highland County,51091
Hopewell City,51670
Isle of Wight County,51093
King George County,51099
King William County,51101
King and Queen County,51097
Lancaster County,51103
Lee County,51105
Lexington City,51678
Loudoun County,51107
Louisa County,51109
Lunenburg County,51111
Lynchburg City,51680
Madison County,51113
Manassas City,51683
Manassas Park City,51685
Martinsville City,51690
Mathews County,51115
Mecklenburg County,51117
Middlesex County,51119
Montgomery County,51121
Nelson County,51125
New Kent County,51127
Newport News City,51700
Norfolk City,51710
Northampton County,51131
Northumberland County,51133
Norton City,51720
Nottoway County,51135
Orange County,51137
Page County,51139
Patrick County,51141
Petersburg City,51730
Pittsylvania County,51143
Poquoson City,51735
Portsmouth City,51740
Powhatan County,51145
Prince Edward County,51147
Prince George County,51149
Prince William County,51153
Pulaski County,51155
Radford City,51750
Rappahannock County,51157
Richmond City,51760
Richmond County,51159
Roanoke City,51770
Roanoke County,51161
Rockbridge County,51163
Rockingham County,51165
Russell County,51167
Salem City,51775
Scott County,51169
Shenandoah County,51171
Smyth County,51173
Southampton County,51175
Spotsylvania County,51177
Stafford County,51179
Staunton City,51790
Suffolk City,51800
Surry County,51181
Sussex County,51183
Tazewell County,51185
Virginia Beach City,51810
Warren County,51187
Washington County,51191
Waynesboro City,51820
West Point,51780
Westmoreland County,51193
Williamsburg-James City County,51830
Winchester City,51840
Wise County,51195
Wythe County,51197
York County,51199
